Color,RGB,Hex
#000000,0 0 0,000000
#222034,34 32 52,222034
#45283c,69 40 60,45283C
#663931,102 57 49,663931
#8f563b,143 86 59,8F563B
#df7126,223 113 38,DF7126
#d9a066,217 160 102,D9A066
#eec39a,238 195 154,EEC39A
#fbf236,251 242 54,FBF236
#99e550,153 229 80,99E550
#6abe30,106 190 48,6ABE30
#37946e,55 148 110,37946E
#4b692f,75 105 47,4B692F
#524b24,82 75 36,524B24
#323c39,50 60 57,323C39
#3f3f74,63 63 116,3F3F74
#306082,48 96 130,306082
#5b6ee1,91 110 225,5B6EE1
#639bff,99 155 255,639BFF
#5fcde4,95 205 228,5FCDE4
#cbdbfc,203 219 252,CBDBFC
#ffffff,255 255 255,FFFFFF
#9badb7,155 173 183,9BADB7
#847e87,132 126 135,847E87
#696a6a,105 106 106,696A6A
#595652,89 86 82,595652
#76428a,118 66 138,76428A
#ac3232,172 50 50,AC3232
#d95763,217 87 99,D95763
#d77bba,215 123 186,D77BBA
#8f974a,143 151 74,8F974A
#8a6f30,138 111 48,8A6F30
